이름,링크,상세정보
선택 받지 못한 자원의 가치 상승 (Increase Value of Unchosen Resources),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=938,"플레이어들이 선택하지 않은 특정 행동이나 자원의 가치가 오릅니다. 
이 메커니즘을 사용한 대표작으로는 Puerto Rico를 꼽을 수 있습니다. Puerto Rico에서는 선택 받지 못한 직업 위에 동전을 올려 놓습니다. 게임 디자이너는 이 메커니즘을 사용하여 여러 선택지 사이의 밸런스를 간단하게 조절할 수 있습니다. 
가치를 올릴 때 사용하는 돈은 Puerto Rico처럼 은행에서 가져오기도 하고, Small World처럼 플레이어가 내기도 합니다. Small World에서는 플레이어가 자신이 선택하지 않고 건너뛴 종족 위에 동전을 올려야 합니다."
선택 순서 입찰 (Selection Order Bid),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1010,"선택 순서 입찰은 ""다중 입찰 경매(Multiple-Lot Auction)""의 한 종류인데, 플레이어들이 물품 그 자체에 대해 입찰하지 않고, 물품을 ""드래프트(Drafting)""할 때의 순서에 대해 입찰하는 경매입니다. 입찰 비용이 커지면 플레이어는 패스를 선언하고 후순위를 선택할 수 있습니다. 몇몇 경우에는, 모든 플레이어들이 입찰한 금액을 전부 지불해야 하고, 일부 게임에서는 입찰금 일부를 회수하는 경우도 있습니다. 
이 메커니즘의 초기 예시는 For Sale입니다. "
성과 훔치기 (Kill Steal),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=942,"플레이어들이 협동하여 특정 목표를 달성했지만, 그 목표를 마무리 지어 완성한 단 한 사람만 모든 보상을 챙기는 방식을 성과 훔치기 메커니즘이라 부릅니다.
이런 메커니즘을 사용한 게임으로는 Cutthroat Caverns가 있습니다."
세트 모으기 (Set Collection),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1012,"아이템의 가치가 세트의 부분이 되는 것에 따라 달라집니다. 예를 들어 아이템의 일정 양 또는 다양성의 집합에 따라 점수를 얻을 수 있습니다.
예시: 
특정 아이템 3개의 세트는 점수가 있습니다(물품 각자에는 점수가 없습니다).
서로 다른 아이템 3개의 세트는 점수가 있습니다(물품 각자에는 점수가 없습니다).
특정 아이템은 3점이지만, 그 아이템 2개를 모으면 7점이고, 3개를 모으면 13점입니다. 
예시 게임: 플레이어들은 보난자에서 여러 종류의 콩을 모으고 수확하며, 태양신 라에서는 기념물을 모아야 합니다. 
""계약(Contracts)"" 메커니즘은 수락할 때 공개하여 표시되어야 하고, 게임 내에서 가변적인 목표에 의해 필요한 물건이 결정되고, 일반적으로 한 사람만이 달성가능하다는 점에서 조금 더 복잡한 경우입니다. "
소유 (Ownership),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=974,"플레이어들은 개체를 소유하고, 이 개체들로 행동을 수행하고, 다른 사람들이 이를 사용했다면 이득을 얻습니다. 
18xx 시리즈(1830: Railways & Robber Barons)과 Imperial이 이 메커니즘의 완벽한 예입니다. 
르 아브르와 케일러스는 플레이어들이 행동칸을 소유하며, 다른 플레이어들이 사용할 때 이득을 얻습니다. "
수령과 배달 (Pick-up and Deliver),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=986,"이 메커니즘 게임에서 플레이어들은 상품 또는 물품을 게임판의 한 장소에서 수령하고, 그것을 게임판의 다른 장소로 가져가야 합니다. 물품의 최초 위치는 사전에 결정되거나 무작위로 결정됩니다. 상품을 배달하면 플레이어들은 더 많은 행동을 할 수 있는 돈을 얻게 됩니다. 대부분의 경우, 물품이 어디로 가야하는지 결정하는 규칙이나 다른 메커니즘을 포함합니다. 
Empire Builder는 1980년에 나와 지금까지 유명한 클래식한 수령과 배달 메커니즘 게임입니다. 이 게임에서 플레이어는 도시 사이에 철도를 건설하고, 이 철도 사이로 기차를 움직입니다. 플레이어들은 특정 도시가 특정 상품을 요구하는 계약서를 갖습니다. 이 계약을 충족시키기 위해, 플레이어는 해당 물품을 갖고 있는 도시로 여행하고, 그 상품을 수령하고, 목적지로 배달해야 합니다. 플레이어가 계약서를 완료하면, 플레이어는 계약서에 쓰여있는 돈을 받습니다."
수입 (Income),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=937,이 메커니즘 게임에서는 정해진 때마다 플레이어들이 자원을 얻습니다. 
수치 확인 및 해결 (Stat Check Resolution),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1022,"테스트를 통과하기 위해 요구되는 수치가 있습니다. 무작위 수치(카드 뽑기, 주사위 굴림 등으로)가 생성되고, 이를 목표와 비교합니다. 이 숫자가 목표에 일치하거나 초과하면, 행동에 성공합니다. "
숨겨진 역할 (Hidden Roles),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=931,숨겨진 역할이 있는 게임에서는 한 명 혹은 다수의 플레이어가 서로 다른 역할을 배정받고 이 역할은 게임을 시작할 때 다른 플레이어에게 공개되지 않습니다.
숨겨진 이동 (Hidden Movement),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=930,"이동이 다른 모든 플레이어들에게 보이지 않게 일어납니다.
스코틀랜드 야드가 이 메커니즘을 활용한 고전 명작 게임입니다.
이 메커니즘을 활용하는 데 있어 디자이너에게 가장 중요한 과제는 플레이어가 숨겨진 유닛을 이동할 때 실수하지 않도록 이동 규칙을 간단하게 만드는 방법, 또는 게임을 끝마칠 때 이동 경로를 추적할 수 있게 하는 것입니다."
숨겨진 점수 (Hidden Victory Points),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=932,각 플레이어가 얻은 점수를 다른 플레이어에게 공개하지 않습니다.
스토리텔링 (Storytelling),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1026,"스토리텔링 게임에서 플레이어는 플레이어의 이야기에 통합되어야 하는 개념적이고 글과 그림으로 구성된 자극을 받습니다. 옛날 옛적에(Once Upon a Time)는 단어를 선택하는 방식을 사용하고, Rory's Story Cubes는 모호한 상징들을 사용합니다. Snake Oil과 Big Idea같은 게임들은 플레이어들이 짧은 스토리나 삽화를 가진 상품을 선전하도록 유도합니다. 
Tales of the Arabian Nights나  Above and Below같이 플레이어들이 스토리를 만들지 않고, 이야기 속의 등장인물 중 하나가 되어 스토리텔링을 경험하게 디자인된 게임도 있습니다. 이러한 방식을 가진 게임들은 플레이어들에게 특정한 서술 상황을 제시하고, 플레이어들에게 이야기의 끝에 영향을 미칠 수 있게 하는 선택지를 줍니다. "
승점을 자원으로 사용 (Victory Points as a Resource),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1045,"승점을 게임 상황에 영향을 미치는 통화로서 사용할 수 있습니다. 
통화를 사용하고, 가장 많은 돈을 가진 플레이어가 승리하는 경영 또는 경제 게임들이 이 메커니즘의 일반적인 예입니다. 그러나 Small World와 같이 다른 테마를 가진 게임들도 이 메커니즘을 사용합니다. 게임이 끝날 때 통화(나 다른 자원)를 부수적인 수단으로써 승점으로 변경할 수 있는(보통 깎인 비율로) 게임은 이 메커니즘에 포함되어 있지 않습니다. 이는 ""게임 종료 보너스(End Game Bonuses)"" 메커니즘에 해당됩니다. "
시간 트랙 (Time Track),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=978,"이 메커니즘 게임에서는 여러 칸으로 구성된 선형의 ""시간 트랙""이 있습니다. 각 플레이어는 트랙 위에 마커를 놓습니다. 이는 플레이어들이 시간의 흐름속에 어디에 있는지를 표시합니다. 트랙의 출발선에서 멀리 있는 마커는 시간상 더 앞서 있다는 것을 의미합니다. 
트랙에서 마커가 뒤에 있는 플레이어(""시간에 뒤쳐진"")가 다음 행동을 합니다. 각 행동은 시간을 비용으로 사용합니다. 플레이어의 마커를 해당 비용에 따라 그 숫자만큼 전진시킵니다. 그러고 나서, 마커가 가장 뒤에 있는 플레이어가 행동을 합니다. 같은 플레이어가 연속으로 여러 번의 차례를 가지는 일도 가능합니다.  "
시나리오 / 임무 / 캠페인 게임 (Scenario / Mission / Campaign Game),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1007,"다양한 지도와 시작 자원 및 위치, 심지어 서로 다른 승리와 패배 조건이 적용될 수 있는 게임 시스템입니다. 이 다양한 조건들은 더 큰 규모의 이야기나 캠페인 속에서 조합될 수도 있고, 전반적으로 각자가 연결되지 않을 수도 있습니다. "
시뮬레이션 (Simulation),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1013,시뮬레이션 게임은 실제 사건이나 상황을 모델로 만들어졌습니다.
시야 (Line of Sight),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=948,"게임말이 특정 지역만 볼 수 있습니다.
이 메커니즘을 구현하는 방법은 다양합니다. <Advanced Squad Leader(1985)>에서 구현한 것처럼 실을 이용해 시야를 확인할 수도 있고, <Tannhauser(2007)>에서 구현한 것처럼 지역을 색깔로 구분해서 조건에 따라 특정 색깔 구역만 보이는 것으로 구분하는 것도 가능합니다."
시장 (Market),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=956,"플레이어들이 시장에서 자원을 사고 팔 수 있습니다. 시장에는 다양한 가격, 수량을 갖는 여러 자원이 있습니다."
실시간 (Real-TIme),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=999,이 메커니즘 게임에는 차례가 없습니다. 플레이어들은 어떤 제약 하에서 게임 또는 단계가 끝날때까지 가능한 한 빠르게 플레이합니다.
실시간 경과 후 종료 (Elapsed Real Time Ending),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=917,"실시간 경과 후 종료 게임은 일정 수준으로 실제 시간이 지난 뒤 끝나는 게임입니다.
Space Alert와 같이 사운드트랙을 사용해서 실시간을 측정하는 방식이 있는가 하면 Escape from Colditz처럼 그냥 시계를 두고 측정하는 방식도 있습니다."
실측 이동 (Measurement Movement),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=958,"게임말이 이동할 때, 자로 실측한 거리를 이동합니다.
워해머 40,000과 같은 미니어처 게임에서 일반적으로 사용되는 방식입니다. 정확한 거리를 재지 않으면 플레이어 간 분쟁이 발생할 수 있기 때문입니다.
이 메커니즘은 템플렛 이동과는 다릅니다. 템플렛 이동은 플레이어들이 템플렛을 놓은 다음, 템플렛만큼 이동하는 것을 의미합니다. 반면 실측 이동은 실측한 거리 내에서 이동할 수 있는 지점의 선택지가 다양합니다."
쌓기와 균형 잡기 (Stacking and Balancing),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1021,"게임 말을 물리적으로 쌓고, 균형을 맞춰야 합니다. 
예시 게임으로는 Junk Art와 Bausack이 있습니다.
참고: 이 카테고리는 전쟁 게임에서 흔히 쓰이는 용어인, 여러 말을 한 칸에 쌓아놓는 ""쌓아 놓기(stacking)""와는 다릅니다. "
역할 선택 (Role Selection),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=924,"토큰이나 카드를 선택하여, 플레이어의 차례 혹은 행동에 영향을 끼치는 게임입니다. 역할 선택은 효과의 적용, 특별 행동, 비용 줄이기, 비용 제한, 가능한 행동 등에 영향을 끼칩니다. 게임의 시작에 단 한 번 역할을 고르는 것이 아니라, 차례의 시작마다 혹은 몇 번의 차례마다 역할을 고릅니다.
이 메커니즘을 사용한 게임으로는 Puerto Rico, Citadels, Age of Steam 등이 있습니다."
연결 (Connections),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=902,"플레이어들에게는 게임 보드 위의 여러 지점들을 서로 연결하는 목표가 주어집니다. 두 지점을 연결하는 중간 구성물들(주로 ""길""로 표현되곤 하는)의 집합을 하나의 세트로 간주한다면, 본질적으로 이는 Set collection 메커니즘의 일종으로 볼 수 있습니다.
이러한 메커니즘의 게임에는 Hex, TransAmerica, Ta Yu 등이 포함됩니다."
연쇄 (Chaining),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=895,"기물 자체는 움직이지 않으나 (기존에 놓은 기물을 발판으로) 연쇄적으로 놓입니다. 이러한 방식은 기물이 움직이지 않음에도 불구하고 게임에 역동성을 부여합니다.
이러한 메커니즘의 초창기 예시로는 Expedition과 Through the Desert를 들 수 있습니다."
예상 입찰 (Predictive Bid),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=991,"플레이어들은 게임에서 미래에 무엇을 할 것인가를 예측하고, 예측이 얼마나 맞았는지에 기반하여 점수를 얻습니다. 
이는  Bridge, Spades나 Sluff Off! 같은 트릭 테이킹 게임에서 자주 보입니다. 이는 또한 Dune에서도 뚜렷이 나타나는데, Bene Gesserit 플레이어는 상대방이 특정 차례에 얼마나 점수를 얻을 것인지 성공적으로 예측하여 그 플레이어에게 점수를 빼앗아 올 수 있습니다."
운 시험 게임 (Push Your Luck),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=994,"상당히 무작위적이거나 운에 의거한 보상이 있는 게임에서, 플레이어들은 이미 얻은 이득에 만족할 것인지, 미래의 더 큰 보상을 위해 얻은 걸 다 걸 것인지를 결정해야 합니다. 운 시험 게임은 TV 프로그램 ""press-your-luck""으로 잘 알려져 있습니다. 
보드게임 작가 Bruno Faidutti의 설명은 다음과 같습니다: 
두배냐, 탈출이냐. 더 가느냐, 멈추느냐. 당장 얻은 것을 현금화 하느냐, 그것을 베팅할 것이냐. 이 아이디어는 새로운 것은 아닙니다. 블랙잭과 같은 많은 도박류 게임에서는 이 아이디어를 압축하여 사용합니다. 일부 전통적인 주사위 게임에서도 마찬가지입니다. Pass the Pig는 이러한 게임들의 현대적 버전이죠. 이 시스템은 많은 TV 프로그램에서도 사용하는데, 승자는 얻은 것을 가지고 떠날 것인지, 지금까지 얻은 모든 것을 잃을 위험을 가지고 한 문제 더 대답해볼 것인지를 결정할 수 있습니다. Luigi Comencini가 감독한 이탈리아 코미디 드라마 Scopone Scientifico에서처럼, 당신이 절대 멈추지 않을 것이라면, 항상 모든 것을 다 잃게 됩니다. 이 시스템은 보드게임과 카드게임에서 매우 효과적인데, 높은 긴장감을 유발하고 주사위를 더 굴릴때나 카드를 한 장 더 뽑을 때 약간의 고뇌를 느끼게 하기 때문입니다. ""두 배냐, 탈출이냐"" 게임으로 가장 잘 알려진 게임은 Sid Sackson의 Can't Stop일 것입니다. 아주 영리한 주사위 게임이며, 최신 버전에서는 등산가들이 정상에 도달하기에는 너무 참을성이 없어서 결국에는 떨어지고 마는 테마로 구현되었습니다. 이 게임은 모든 플레이어들이 같은 배에 있지만, 함정에 빠질지 아닐지, 언제 빠질지 아무도 모든다는 점에서 매우 교묘합니다. 이제 떠날 시간일까요, 아닐까요? 이러한 일들은 Aaron Weissblum의 Claud Nine이나 Alan R. Moon이 디자인한 Diamant에서도 자주 일어납니다. 
  아래는 보드게임 작가 Reiner Knizia의  Dice Games Properly Explained에 있는 Jeopardy 주사위 게임에 대한 설명입니다: 
여러분은 여러분의 결과값을 증진시키고 극대화하는데 집중합니다. 하지만 뱀이 깨어나고 있습니다. 일이 잘못된다면, 여러분은 모든 것을 잃습니다. 큰 위험은 큰 보상을 가지고 옵니다. 아니라면, 패배합니다! 재앙은 여러가지 다른 방법으로 공격해옵니다. 여기에 더해, 여러분은 잠재적 이득과 손해를 가늠할 필요가 있습니다. 특정 숫자를 굴리는 것 또는 특정 숫자 합에 도달하는 것은 여러분을 매우 곤란하게 만들 것입니다. 여러분은 재앙이 점점 더 커지는 것을 봅니다. 하지만, 탈출할 수 있나요? 다른 게임들에서 여러분은 선택권을 열어두는 한 계속 주사위를 던질 수 있습니다. 언제 멈출지, 그리고 언제 여러분의 결과를 감출지 깨달으세요. 여러분이 탐욕적이고 여러분의 운이 다했다면, 여러분은 탈락합니다. 여러분은 올바른 결정을 내려야하고, 또한 운이 좋아야 합니다. "
육각형 구획 (Hexagon Grid),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=929,"구성물들이 육각형 모양으로 게임판에 겹치지 않으면서 빈틈없이 놓이며, 이것이 인접지 그리고/또는 이동에 쓰입니다.
예전에는 이 카테고리가 ‘육각형과 counter.’로 알려졌습니다. 육각형 구획 메커니즘이 이제 더 넓은 범위의 게임을 의미하게 된 반면 기존의 표현은 이 메커니즘을 활용한 대규모 게임의 중요한 측면을 강조할 때 쓰입니다.
‘육각형과 counter.’는 육각형 구획이 있는 지도에서 ‘counter’를 사용하여 즐기는 고전 워게임 메커니즘입니다. 육각형 구획은 사각형 구획에 비해 counter가 등거리로 이동할 때 더 많은 방향(6방향)으로 이동할 수 있게 해줍니다. 이로 인해 사각형 구획에서 대각선으로 이동하는 것에 대한 문제를 피할 수 있습니다(사각형 구획에서는 대각선으로 이동하는 것이 직각으로 이동하는 것보다 거리가 멉니다).
구성물들이 육각형 모양으로 게임판에 겹치지 않으면서 빈틈없이 놓이며 인접지 그리고/또는 이동에 쓰입니다.
이러한 게임 중 많은 게임들이 ""통제 범위(Zone of Control, 현재는 별도의 메커니즘으로 분류)""의 컨셉을 포함합니다. 통제 구역은 유닛이 상대 유닛 옆으로 이동하거나 또는 상대 유닛 옆에서 이동을 시작할 때, 그 이동을 멈추게 하거나 못하게 만듭니다. 정확한 효과는 구현한 시대나 기타 디자인 문제에 따라 달라집니다."
의사소통 제한 (Communication Limits),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=900,"어떤 게임들은 플레이어들이 서로 자유롭게 의사소통하지 못하게끔 제약을 둡니다. 이러한 제약의 유형에는 특정 종류의 정보를 절대로 공유하지 못하게끔 하는 것도 있고, 특정 유형의 의사소통 방식(예를 들어 말하기)을 금지하는 것도 있습니다.
이러한 메커니즘의 예시로는 Hanabi와 Reverse Charades가 있습니다."
이동 템플릿 (Movement Template),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=965,"이동 템플릿을 사용해 게임말이 어디로 움직일지를 정하는 방식입니다.
이 방식의 고전적인 예시는 <Blue Max>지만, 오늘날에는 <Wings of War>나 <X윙 미니어처 게임>처럼 이 메커니즘을 성공적으로 사용하는 게임도 출시되었습니다."
이동 포인트 (Movement Points),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=964,"게임말에 이동에 사용할 수 있는 점수가 부여됩니다. 많은 게임에서 일반적인 메커니즘으로 특히 워 게임에서 많이 찾아볼 수 있습니다. 이런 게임에선 지형에 따라 사용해야 할 이동 포인트가 달라지기도 합니다. 이동 포인트는 게임말이나 특정 지형에 한해 사용된다는 개념이라 ""행동 포인트(Action Points)""와는 구분됩니다. ""행동 포인트(Action Points)""는 플레이어의 행동 전반에 사용되는 개념으로, 행동에는 흔히 ""이동""도 포함됩니다."
이벤트 (Events),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=920,"이벤트 게임은 일으키고 말고를 플레이어들이 제어할 수 없는 이벤트가 발생하는 게임입니다. 이벤트에는 즉각적인 효과를 일으키거나, 게임의 상태를 바꾸거나, 그 이후에 다른 행동이 수반되게 만드는 것 등이 있습니다."
이익 토큰 (Advantage Token),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=872,"한 플레이어는 특별한 행동을 수행하거나 행동을 수정할 수 있게 하는 토큰을 가지고 있습니다. 한 번 사용하면, 그 토큰을 다른 플레이어에게 넘깁니다. 
Storm over Arnhem에서 처음 사용된 이 메커니즘은 Twilight Struggle의 China card같이, 많은 게임에서 사용되며 큰 영향을 주었습니다. "
일꾼 놓기 (Worker Placement),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1047,"일꾼 놓기는 ""행동 드래프트(Action Drafting)""를 양식화한 형태로, 플레이어들이 모든 플레이어들이 사용가능한 여러 행동 가운데 자신의 토큰(보통 미플(meeple)을 사용)을 원하는 행동 장소에 놓고 해당 행동을 발동하는 형태의 메커니즘을 말합니다. 보통 차례 순서대로 한 번씩 돌아가며 말을 놓습니다. 일부 게임들은 같은 효과를 반대 방향으로 얻기도 합니다. 각 차례가 플레이어들이 비용을 내고 놓은 마커들에 의해 행동칸들이 채워져 있는 것입니다. 각 플레이어들은 제한된 숫자의 마커를 가지고 이 과정에 참여합니다. 게임 중간에 이 숫자를 늘릴 수 있기도 합니다. 
보통(*) 하나의 행동이 수행될 수 있는 숫자는 제한되어 있습니다. 일단 행동 제한 수에 도달하면, 해당 행동을 다시 하기 위해 더 비싼 비용이 들거나, 남은 라운드 동안 더 이상 그 행동을 할 수 없게 됩니다. 보통 주어진 라운드에 모든 플레이어가 모든 행동을 할 수는 없으며, 그래서 '행동 막기' 상황이 발생합니다. 게임이 여러 라운드로 구성된다면, 모든 행동은 각 라운드가 시작하거나 끝날 때 다시 충전되며 플레이어들은 새 라운드에 행동을 다시 사용할 수 있습니다. 
테마적 관점에서, '행동을 드래프트' 할 때 사용하는 게임말들은 주어진 행동을 하는 ""일꾼""을 의미합니다(그러나 이 메커니즘에서 이러한 테마적 표현을 반드시 강제하는 것은 아닙니다). 다시 말해서, 플레이어들은 개별 플레이어들이 행동을 드래프트 했다는 것을 보여주기 위해 테마적으로 '일꾼을 놓습니다'. 예를 들어, 아그리콜라에서 각 플레이어들은 가족 구성원을 표현하는 두 개의 게임 말을 가지고 시작하며, 이 말들은 행동 칸에 놓여 자원을 모으거나 울타리를 치는 등 다른 행동들을 합니다. 아그리콜라에서 한 플레이어가 어떤 행동 칸에 말을 놓았다면, 그 행동칸은 다음 라운드까지 사용이 불가능합니다. 
1998년에 출시된 Keydom은 넓게 보아 일꾼 놓기 장르의 첫 게임으로 일컬어집니다. 이 메커니즘을 활용한 초기 게임들로는 Bus(1999), Way out west(2000)가 있습니다. 일꾼 놓기 게임을 대표하는 잘 알려진 게임으로는 아그리콜라(2007), 케일러스(2005), 그리고 석기 시대(2008)가 있습니다. 
(*)이 문맥에서 ""보통""이라는 단어의 사용에는 논쟁의 여지가 있습니다. 보드게임긱(BoardGameGeek)의 메커니즘 분류를 목적으로 할 때, ""행동 차단""은 일꾼 놓기 메커니즘의 정의 요소입니다. 이 경우, 각 라운드에 드래프트 될 수 있는 어떤 행동에는 반드시 횟수에 제한이 있어야 합니다. "
일등 따라잡기 (Catch the Leader),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=894,"본 게임 시스템은 뒤처진 플레이어에게 혜택을 주거나 앞서가는 플레이어에게 불이익을 줍니다.
만약 이러한 혜택이 차례 순서를 정할 때에만 한정될 경우, 본 메커니즘 대신 ""차례 순서 : 능력치 기반(Turn Order : Stat-Based)"" 태그가 따라붙습니다."
자동적인 자원 증가 (Automatic Resource Growth),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=886,"자원이 자동으로 증가하는 메커니즘은 게임 내의 특정한 조건 및 게임 상태에 따라 발동됩니다(무작위가 아닙니다).
예시 1. 아그리콜라에서 아무도 보유하고 있지 않은 자원의 증가:
- 아무도 나무를 가져가지 않은(조건) 나무 수집 행동칸은, 다음 라운드(게임 상태)에 나무를 +1개(결과) 제공할 것입니다.
예시 2. 아그리콜라에서 누군가 보유하고 있는 자원의 증가:
- 당신의 농장에 돼지가 2마리 있으며 돼지 3마리를 키울 충분한 공간이 있다면(조건), 그 라운드의 번식 단계(게임 상태)에 자동적으로 3번째 돼지(결과)가 생산될 것입니다.
예시 3. Monopoly에서의 반례:
- ""GO"" 칸을 통과할 때마다(게임 상태) $200(결과)를 받습니다.
- (부동산을 1개 이상 소유하고 있다면~ 따위의) 조건이 없으므로 본 메커니즘이 사용된 것이 아닙니다.
예시 4. 러브레터에서의 반례: 
- 당신의 차례가 시작될 때마다(게임 상태) 카드 1장 뽑기(결과).
- (당신의 손에 카드가 1장도 없다면~ 따위의) 조건이 없으므로 본 메커니즘이 사용된 것이 아닙니다.
* 예시 3과 4는 ""수입"" 메커니즘의 예시로 적용 가능합니다."
